Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Christian Kabasele,Watford,32,Defender,21,1587,1.1904761904761905,1.8095238095238095,1.0476190476190477,1.0952380952380953,5.0476190476190474,0.6190476190476191,0.7619047619047619,6.672380952380952
Jordan Henderson,Liverpool,33,Midfielder,32,1983,1.4375,0.9375,0.8125,0.0,0.40625,0.71875,0.09375,6.668125
Jeffrey Schlupp,Crystal Palace,30,Midfielder,30,1667,1.3666666666666667,0.6333333333333333,0.8333333333333334,0.0,0.7,0.5666666666666667,0.26666666666666666,6.6643333333333326
Ederson,Man City,30,Goalkeeper,38,3420,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.0,0.47368421052631576,0.0,0.0,6.663947368421052
Marouane Fellaini,Man Utd,35,Midfielder,14,748,1.5,0.2857142857142857,1.0714285714285714,0.07142857142857142,2.357142857142857,0.5714285714285714,0.35714285714285715,6.663571428571429
Roberto Pereyra,Watford,32,Midfielder,33,2825,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.030303030303030304,0.6060606060606061,0.48484848484848486,0.0,6.662424242424242
Adam Masina,Watford,29,Defender,14,1004,2.142857142857143,1.2142857142857142,1.2142857142857142,0.14285714285714285,2.5714285714285716,0.8571428571428571,0.2857142857142857,6.661428571428571
Craig Cathcart,Watford,34,Defender,36,3099,1.3888888888888888,1.0555555555555556,0.4444444444444444,1.0555555555555556,4.972222222222222,0.4444444444444444,0.8333333333333334,6.66
Phil Bardsley,Burnley,38,Defender,19,1672,1.6842105263157894,1.631578947368421,1.1578947368421053,0.10526315789473684,3.473684210526316,0.47368421052631576,0.631578947368421,6.659473684210526
Yan Valery,Southampton,24,Defender,23,1715,1.826086956521739,0.9565217391304348,1.173913043478261,0.2608695652173913,2.4782608695652173,0.5652173913043478,0.13043478260869565,6.659130434782608
Christian Benteke,Crystal Palace,32,Forward,16,813,0.3125,0.0,1.125,0.0,0.875,0.1875,0.125,6.65875
Dale Stephens,Brighton,34,Midfielder,30,2487,2.8,1.5333333333333334,1.4666666666666666,0.0,1.5333333333333334,1.5333333333333334,0.4,6.658
Alberto Moreno,Liverpool,31,Defender,2,155,1.5,1.0,0.5,1.0,0.0,1.0,0.0,6.654999999999999
Joe Bryan,Fulham,29,Defender,28,2347,2.1785714285714284,1.1071428571428572,0.8928571428571429,0.10714285714285714,2.5,0.6428571428571429,0.42857142857142855,6.653928571428571
